Item Code,Item Description,Strength,Dosage Form,Category
FD102800,Methyl Prednisolone 40mg/2ml,40mg,Injectable,Miscellaneous items
FD102900,Neostigmine Injection BP,,Injectable,Miscellaneous items
FD103000,"Morphine Sulphate 15mg/ml, 1ml",15mg/ml,Injectable,Miscellaneous items
FD103100,Hydroxyethyl Starch Haes-steril 6%/500ml,6%/500ml,NA,Miscellaneous items
FD103200,Pethidine injection 100mg/2ml,100mg/2ml,Injectable,Miscellaneous items
FD103300,Etoposide 20mg/ml,20mg/ml,Injectable,Miscellaneous items
FD103400,Insulin soluble HMGE100IU 10ml vial,100IU/10ml,Injectable,Miscellaneous items
FD103500,Insulin lente 100IU 10ml vial,100IU/10ml,Injectable,Miscellaneous items
FD103600,"Ampicillin injection 500mg, PFR",500mg,Injectable,Miscellaneous items
FD103700,"Adrenaline 1/1000, 1ml",1/1000,Injectable,Miscellaneous items
FD103800,"Aminophylline 25mg/ml, 10ml",25mg/ml,Injectable,Miscellaneous items
FD103900,"Atropine sulphate 600 micrograms/ml, 1ml",600mcg/ml,Injectable,Miscellaneous items
FD104000,"Cefotaxime 500mg, PFR",500mg,Tablet,Miscellaneous items
FD104100,"Ceftriaxone 1g, PFR",1g,Injectable,Miscellaneous items
FD104200,"Chlorpromazine hydrochloride 25mg/ml, 2ml",25mg/ml,Injectable,Miscellaneous items
FD104300,"Dextrose (glucose) 5%, 1000ml",5.00%,NA,Miscellaneous items
FD104400,"Diazepam 5mg/ml, 2ml",5mg/ml,Injectable,Miscellaneous items
FD104500,"Flucloxacillin 250mg, vial, PFR",250mg,Injectable,Miscellaneous items
FD104600,"Frusemide 10mg/ml, 2ml",10mg/ml,Injectable,Miscellaneous items
FD104700,"Gentamicin Sulphate 40mg/ml, 2ml",40mg/ml,Injectable,Miscellaneous items
FD104800,"Haloperidol decanoate oily 50mg/ml, 1ml ampoule",50mg/ml,Injectable,Miscellaneous items
FD104900,"Hydrocortisone sodium succinate iv 50mg/ml, 2ml",50mg/ml,Injectable,Miscellaneous items
FD105000,"Lignocaine hydrochloride 1%, 25ml",1.00%,Injectable,Miscellaneous items
FD105100,"Lignocaine hydrochloride 2%, 25ml",2.00%,Injectable,Miscellaneous items
FD105200,"Lignocaine hydrochloride 5%+glucose 7.5%,heavy spinal,2ml",5%/7.5%,Injectable,Miscellaneous items
FD105300,"Magnesium sulphate 50%, 2ml ampoule",50.00%,Injectable,Miscellaneous items
FD105400,"Oxytocin 10 IU/ml, 1ml",10IU,Injectable,Miscellaneous items
FD105500,"Paraldehyde, 10ml",,Injectable,Miscellaneous items
FD105600,"Pethidine hydrochloride 50mg/1ml, 2ml",50mg/1ml,Injectable,Miscellaneous items
FD105700,"Phenobarbitone sodium 200mg/ml, 1ml",200mg/ml,Injectable,Miscellaneous items
FD105800,"Phytomenadione 2mg/ml, 1ml (Vitamin K)",2mg/ml,Injectable,Miscellaneous items
FD105900,"Phytomenadione 10mg/ml, 1ml (Vitamin K)",10mg/ml,Injectable,Miscellaneous items
FD106000,"Promethazine hydrochloride 25mg/ml, 2ml",25mg/ml,Injectable,Miscellaneous items
FD106100,"Sodium chloride 0.9%, 1000ml",0.90%,Fluid,Miscellaneous items
FD106200,"Sodium lactate compound (Ringer's lactate), 1000ml",,Fluid,Miscellaneous items
FD106300,"Thiopentone sodium 500mg, PFR",500mg,NA,Miscellaneous items
FD106400,"Ultravist 370,50ml",,NA,Miscellaneous items
FD150000,"Rabies vaccine course, (1x 5, 0.5ml/dose PFR + diluent x 5 v",1,Injectable,Miscellaneous items
FD200000,Formaldehyde 40% (Formalin solution) 5L,40.00%,Solution,Miscellaneous items
FD200100,Ethanol absolute 99% min GRG,99.00%,Solution,Miscellaneous items
FD250000,"Amoxycillin 125mg/5ml PFR, 100ml",125mg/5ml,Suspension,Miscellaneous items
FD250020,Amoxycillin 250mg Tablet,250mg,Tablet,Miscellaneous items
FD250050,Amoxycillin 250mg Capsules,250mg,Capsule,Miscellaneous items
FD250100,"Chloramphenicol 125mg/5ml , PFR,100ml",125mg/5ml,Suspension,Miscellaneous items
FD250200,Chloramphenicol eye drops 0.5% 10 ml,0.50%,drop,Miscellaneous items
FD250300,"Gentamicin Eye Drops,0.3%. 5ML",0.30%,Drop,Miscellaneous items
FD250400,Gluteraidehyde solution 2%(cidex) with activator OPA 5 ml,1,Solution,Miscellaneous items
FD250500,KY Jelly ( Lubricationg jelly) 82g,82g,NA,Miscellaneous items
FD250600,Lignocaine Gel 2% 20g,20g,NA,Miscellaneous items
FD250700,"Salbutamol sulphate aerosol inhalation, 100mcg/dose, 200 dos",100mcg/dose,inhalation,Miscellaneous items
FD250800,Cotrimoxazole oral suspension 240mg/5ml,240mg/5ml,Suspension,Miscellaneous items
FD250900,Atropine Sulphate 1% eye drop.10ml,1.00%,Drop,Miscellaneous items
FD251000,Cotrimoxazole 480mg tablets,480mg,Tablet,Miscellaneous items
FD251050,"Cotton wool, 500g, roll",1,NA,Miscellaneous items
FD251100,Metronidazole oral suspension 200mg/5ml,200mg/5ml,Suspension,Miscellaneous items
FD251200,Clotrimazole 1% cream 20g,20g,Cream,Miscellaneous items
FD251300,Hydrocortisone 1% skin ointment,1.00%,Ointment,Miscellaneous items
FD251400,"Erythromycin ethyl succinate suspension 125mg/5ml, PFR",125mg/5ml,Suspension,Miscellaneous items
FD251500,Multivitamin syrup,10 IU/ml,Syrup,Miscellaneous items
FD251600,Benzoic acid 6%+salicyclic acid 3% (whitefield's ointment),6%/3%,Ointment,Miscellaneous items
FD251700,Benzoic acid + salicylic acid compoundLotion,1,Lotion,Miscellaneous items
FD251800,Benzyl benzoate application 25%,25.00%,Lotion,Miscellaneous items
FD251900,Bismuth subgallate compound suppositories,1,Suppository,Miscellaneous items
FD252000,CalamineLotion + sulphur 2%,1,Lotion,Miscellaneous items
FD252100,CalamineLotion aqueous,1,Lotion,Miscellaneous items
FD252200,Cetrimide 15% + chlorhexidine 1.5% solution.for dilution,15%/1.5%,Solution,Miscellaneous items
FD252300,Chloramphenicol 1% eye ointment,1.00%,Ointment,Miscellaneous items
FD252400,Chloramphenicol eye drops 0.5%,0.50%,Drop,Miscellaneous items
FD252500,Chlorpheniramine 2mg/5ml suspension,2mg/5ml,Suspension,Miscellaneous items
FD252600,Clotrimazole pessaries 500mg,500mg,Pessary,Miscellaneous items
FD252700,Dexamethasone eye drops 0.1%,0.10%,drop,Miscellaneous items
FD252800,Emulsifying ointment,,Ointment,Miscellaneous items
FD252900,"Erythromycin ethyl succinate suspension 125mg/5ml, PFR",125m/5ml,Suspension,Miscellaneous items
FD253000,Ferrous sulphate mixture paediatric 60mg/5ml,60mg/5ml,Syrup,Miscellaneous items
FD253100,Gentamicin 0.3% eye drops,0.30%,Drop,Miscellaneous items
FD253200,"Gentian violet paint, aqueous 1%",1.00%,Lotion,Miscellaneous items
FD253300,Gluteraldehyde solution 2% buffered (Cidex) with activator,2.00%,Solution,Miscellaneous items
FD253400,"Glycerine suppositories (adult), 4g",4g,Suppository,Miscellaneous items
FD253500,"Glycerine suppositories (child), 2g",2g,Suppository,Miscellaneous items
FD253600,Hydrocortisone eye ointment 1%,1.00%,Ointment,Miscellaneous items
FD253700,"Iodine solution, weak (iodine tincture) 0.5%",0.50%,Solution,Miscellaneous items
FD253800,"Lignocaine gel 2%, 30g",30g,gel,Miscellaneous items
FD253900,Methylated spirit,1,Solution,Miscellaneous items
FD254000,"Nystatin oral suspension 100,000 IU/ml","100,000IU/ml",Suspension,Miscellaneous items
FD254100,"Oral rehydration salt, 20.5g satchet (WHO formula) for 1L so",20.5g,Solution,Miscellaneous items
FD254200,Paracetamol syrup 120mg/5ml,120mg/5ml,Syrup,Miscellaneous items
FD254201,"Paracetamol syrup 120mg/5ml,60 ml",120mg/5ml,Syrup,Miscellaneous items
FD254300,Pilocarpine hydrochloride eye drops 2%,2.00%,drop,Miscellaneous items
FD254400,Promethazine hydrochloride elixir 5mg/5ml,5mg/5ml,Syrup,Miscellaneous items
FD254500,Salbutamol solution for nebulising 5mg/ml,5mg/ml,inhalation,Miscellaneous items
FD254600,Salicylic acid 10% ointment (in YSP),10.00%,Ointment,Miscellaneous items
FD254700,Salicylic acid 5% + sulphur 5% ointment (in YSP base),5%/5%,Ointment,Miscellaneous items
FD254800,Salicylic acid ointment 5% (in YSP base),5.00%,Ointment,Miscellaneous items
FD254900,Silver nitrate stick pencil (toughened),1,Pencil,Miscellaneous items
FD255000,Silver sulphadiazine cream 1% 50G,50g,Cream,Miscellaneous items
FD255100,Tetracycline eye ointment 1%,1.00%,Ointment,Miscellaneous items
FD255200,"Vitamin, multiple syrup",1,Syrup,Miscellaneous items
FD255300,Zinc oxide + salicylic acid paste BP (Lassar's),1,Paste,Miscellaneous items
FD255400,Zinc oxide 15% ointment (in EO base),1,Ointment,Miscellaneous items
FD255500,Zinc oxide 15% ointment +sulphur 5%,1,Ointment,Miscellaneous items
FD255600,Zinc paste compound + sulphur 5%,5.00%,NA,Miscellaneous items
FD300000,Bandage WOW 7.5cm X 4.5M,1,NA,Miscellaneous items
FD300100,Dressing Gauze paraffin Dressing 10cm x 10cm,1,NA,Miscellaneous items
FD300200,"Gauze Absorbent 90cmX91m,roll",1,NA,Miscellaneous items
FD300300,"Gauze Swab 10cmX10cm, 12 ply",1,NA,Miscellaneous items
FD300400,Zinc oxide plaster 7.5cm x 5m,1,NA,Miscellaneous items
FD300500,"Bandage, crepe 7.5cm x 1.4m (4m when stretched)",1,NA,Miscellaneous items
FD300600,"Dressing, paraffin gauze 9.5cm x 9.5cm (square)",1,NA,Miscellaneous items
FD300700,"Gauze, absorbent 90cm X 100m",1,NA,Miscellaneous items
FD300800,"Gauze, absorbent 90cm x 40m",1,NA,Miscellaneous items
FD300900,"Gauze, swabs 8-ply 10cm x 10cm",1,NA,Miscellaneous items
FD301000,"Plaster, elastic adhesive 7.5cm x 5m",1,NA,Miscellaneous items
FD301100,"Plaster, extension 7.5cm x 5m",1,NA,Miscellaneous items
FD301200,"Plaster, zinc oxide 7.5cm x 5m",1,NA,Miscellaneous items
FD301300,Anti-D human immunoglobulin 250 micrograms/ml,1,NA,Miscellaneous items
FD301400,"Liquid human diploid cell rabies vaccine course, (1x 5, 0.5m",1,NA,Miscellaneous items
FD301500,"Bandage, crepe 10cm 1.4mLong (4m when stretched)",1,NA,Miscellaneous items
FD301600,Bandage WOW 15cm X 3.6 M,1,NA,Miscellaneous items
FD350000,Catgut chromic 2 on needle round bodied ? circle 48 mm,1,NA,Miscellaneous items
FD350100,Braided synthetic sterile polyglactin 910 surgical suture,1,NA,Miscellaneous items
FD350200,"Polyamide 6 Blue monofilament 4-0 ( 3/8 c), 45cm,19mm rever",1,NA,Miscellaneous items
FD350300,"Polyamide 6 Blue monofilament 5-0,(3/8 c), 45cm, 16mm cuttin",1,NA,Miscellaneous items
FD350400,"Black Braided silk 2,(1/2c), 75cm, 40mm round bodied",1,NA,Miscellaneous items
FD350500,Vicryl 0 75cm cutting,1,NA,Miscellaneous items
FD350600,"Vicryl 1 ,75cm reverse cutting",1,NA,Miscellaneous items
FD350700,"Vicryl 2,75cm reverse cutting",1,NA,Miscellaneous items
FD350800,"Vicryl 2,75cm round bodied",1,NA,Miscellaneous items
FD350900,"Vicryl 3-0 ,75cm round bodied",1,NA,Miscellaneous items
FD351000,Vicryl 4-0 75cm cutting,1,NA,Miscellaneous items
FD351100,Braided synthetic sterile polyglactin 910 surgical suture 0,1,NA,Miscellaneous items
FD351200,API 20 E teststrips,1,NA,Miscellaneous items
FD351300,API NH teststrips,1,NA,Miscellaneous items
FD351400,API 20 NE teststrips,1,NA,Miscellaneous items
FD351500,"Polyamide 6 Blue monofilament 5-0,(3/8 c), 45cm, 16mm cuttin",1,NA,Miscellaneous items
FD351600,"Polyamide 6 Blue monofilament 5-0,(3/8 c), 45cm, 16mm cuttin",1,NA,Miscellaneous items
FD351700,PolySilk 1 Rounded Bodied,1,NA,Miscellaneous items
FD351800,Vicyl 10-0 (10cm Spatula),1,NA,Miscellaneous items
FD351900,"Ethilon 3 - 0, 45cm Reverse Cutting",1,NA,Miscellaneous items
FD352000,"Ethilon 2 - 0, 45cm? Cutting",1,NA,Miscellaneous items
FD352100,Sutures 2 Chromic 90cm,1,NA,Miscellaneous items
FD352200,"Ethilon 0, 40mm reverse cutting",1,NA,Miscellaneous items
FD352300,"Ethilon 1, 90mm cuttting",1,NA,Miscellaneous items
FD352400,Ethilon 5-0 45cm cutting,1,NA,Miscellaneous items
FD352500,Braided synthetic sterile polyglactin 910 surgical suture 2,1,NA,Miscellaneous items
FD352600,"Ethilon 0, on cutting needle",1,NA,Miscellaneous items
FD352700,"Ethilon 3/0, on cutting needle",1,NA,Miscellaneous items
FD352800,"Ethilon 4/0, on cutting needle",1,NA,Miscellaneous items
FD352900,Silk braided 1 on needle,1,NA,Miscellaneous items
FD353000,Silk braided 2 on needle,1,NA,Miscellaneous items
FD353100,"Vicryl 0, 10/0",1,NA,Miscellaneous items
FD353200,"Vicryl 0, on tappercut needle",1,NA,Miscellaneous items
FD353300,"Vicryl 1, on reverse cutting needle 1/2 circle",1,NA,Miscellaneous items
FD353400,Vicryl 2 reverse cutting needle 1/2 circle,1,NA,Miscellaneous items
FD353500,Vicryl 2 round bodied needle 1/2 circle,1,NA,Miscellaneous items
FD353600,Catgut chromic 2 on needle round bodied ? circle 50mm,1,NA,Miscellaneous items
FD353700,"Catgut chromic 2, ? circle round bodied 12's",1,NA,Miscellaneous items
FD353800,"Ethilon 0, ? circle reverse cutting 12's",1,NA,Miscellaneous items
FD353900,"Ethilon 0, ? circle round bodied 12's",1,NA,Miscellaneous items
FD354000,"Ethilon 1, ? circle cutting needle 12's",1,NA,Miscellaneous items
FD354100,"Ethilon 2/0, ? circle cutting needle 12's",1,NA,Miscellaneous items
FD354200,"Ethilon 2/0, ? circle round bodied 12's",1,NA,Miscellaneous items
FD354300,"Ethilon 3/0, curved reverse cutting needle 12's",1,NA,Miscellaneous items
FD354400,"Ethilon 4/0, ? circle cutting needle 12's",1,NA,Miscellaneous items
FD354500,"Ethilon 4/0, ? circle slim blade reverse cutting 12's",1,NA,Miscellaneous items
FD354600,"Ethilon 5/0, ? circle slim blade reverse cutting 12's",1,NA,Miscellaneous items
FD354700,"Silk braided 1, ? circle cutting needle 12's",1,NA,Miscellaneous items
FD354800,"Silk braided 2, ? circle cutting needle 12's",1,NA,Miscellaneous items
FD354900,"Vicryl 0, ? circle round bodied 12's",1,NA,Miscellaneous items
FD355000,"Vicryl 0, ? circle taper cut needle heavy 12's",1,NA,Miscellaneous items
FD355100,"Vicryl 1, ? circle round bodied 12's",1,NA,Miscellaneous items
FD355200,"Vicryl 1, ? circle taper cut heavy 12's",1,NA,Miscellaneous items
FD355300,"Vicryl 2, ? circle round bodied heavy 12's",1,NA,Miscellaneous items
FD355400,"Vicryl 2, ? circle taper cut 12's",1,NA,Miscellaneous items
FD355500,"Vicryl 3/0, ? circle round bodied taper 12's",1,NA,Miscellaneous items
FD355600,"Vicryl 4/0, ? circle round bodied 12's",1,NA,Miscellaneous items
FD400000,Abdominal packs,1,NA,Miscellaneous items
FD400100,Cannula IV(without vent)12 sets packed in apoly bag),1,NA,Miscellaneous items
FD400200,Autoclave tape 18mm x 50m,1,NA,Miscellaneous items
FD400300,Bag Urine drainage 2000ml,1,NA,Miscellaneous items
FD400400,Catheter Foley's retention 30cc FG 18,1,NA,Miscellaneous items
FD400500,"Colostomy Bags, disposable 25cmx13cm",1,NA,Miscellaneous items
FD400600,Catheter Foley's retention 3-5cc FG 18 (with introducer) 2 w,1,NA,Miscellaneous items
FD400700,Catheter Foley's retention 3-5cc FG 10 (with introducer) 2,1,NA,Miscellaneous items
FD400800,Foley catheter 2 way size 20,1,NA,Miscellaneous items
FD400900,Catheter Foley's retention 3-5cc FG 8 (with introducer) 2 w,1,NA,Miscellaneous items
FD401000,Foley catheter 2 way size 12,1,NA,Miscellaneous items
FD401100,Foley catheter 2 way size 14,1,NA,Miscellaneous items
FD401200,Foley catheter 2 way size 16,1,NA,Miscellaneous items
FD401300,Giving Sets Adult,1,NA,Miscellaneous items
FD401400,Giving sets paediatrict,1,NA,Miscellaneous items
FD401500,Nasogastric Tube size 10,1,NA,Miscellaneous items
FD401600,Nassal Cannula paeds 25G X 90mm,1,NA,Miscellaneous items
FD401700,Needle Spinal disposable cutting bevel '23G,1,NA,Miscellaneous items
FD401800,Needle Spinal disposable cutting bevel '25G,1,NA,Miscellaneous items
FD401900,Needle spinal disposable cutting bevel'22G,1,NA,Miscellaneous items
FD402000,Perfuser syringes,1,NA,Miscellaneous items
FD402100,Scalpel blade size 24 (individually wrapped),1,NA,Miscellaneous items
FD402200,Scalpel blade size 20 (individually wrapped),1,NA,Miscellaneous items
FD402300,Scalpel blade size 21 (individually wrapped),1,NA,Miscellaneous items
FD402400,Scalpel blade size 22 (individually wrapped),1,NA,Miscellaneous items
FD402500,Scalpel blade size 23 (individually wrapped),1,NA,Miscellaneous items
FD402600,Stethoscope binaural chest type,1,NA,Miscellaneous items
FD402700,Suction tubes Size 5,1,NA,Miscellaneous items
FD402800,Suction tubes,1,NA,Miscellaneous items
FD402900,Suctioning tubes for neonaters,1,NA,Miscellaneous items
FD403000,"Syringe disposable, 50 ml (No Needle",1,NA,Miscellaneous items
FD403100,Syringes disposable on niddle 21G 20ML,1,NA,Miscellaneous items
FD403200,"Tube, feeding CH 6",1,NA,Miscellaneous items
FD403300,"Tube, feeding CH 8",1,NA,Miscellaneous items
FD403400,nasogatric tubes(stomach tubes) CH 16,1,NA,Miscellaneous items
FD403500,suction catheters(suction tubes) size 12,1,NA,Miscellaneous items
FD403600,suction catheters(suction tubes) size 8,1,NA,Miscellaneous items
FD403700,"Syringe,10ml, disposable, hypoluer with 21ndl",1,NA,Miscellaneous items
FD403800,Tracheostomy Tube size20 cuffed 5.0mm,1,NA,Miscellaneous items
FD404000,Nasal Oxygen Cannula -Adults,1,NA,Miscellaneous items
FD404100,Suction catheter FR 5,1,NA,Miscellaneous items
FD404200,Foley catheter FR 10 2-way,1,NA,Miscellaneous items
FD404300,Foley catheter FR 8 2-way,1,NA,Miscellaneous items
FD404400,"Autoclave tape, 1.5cm wide, 12mLong",1,NA,Miscellaneous items
FD404500,Bags colostomy disposable 25.5cm x 13cm,1,NA,Miscellaneous items
FD404600,Cannula iv (winged with injection pot) 16,1,NA,Miscellaneous items
FD404700,Cannula iv (winged with injection pot) 18,1,NA,Miscellaneous items
FD404800,Cannula iv (winged with injection pot) 20,1,NA,Miscellaneous items
FD404900,Cannula iv (winged with injection pot) 22,1,NA,Miscellaneous items
FD405000,Cannula iv (winged with injection pot) 24,1,NA,Miscellaneous items
FD405100,Cannula iv (winged with injection pot) 14,1,NA,Miscellaneous items
FD405200,Catheter disposable female FG 14,1,NA,Miscellaneous items
FD405300,Catheter disposable female FG 16,1,NA,Miscellaneous items
FD405400,"Catheter Foley""s retention 20-30cc FG 20, 3 way",1,NA,Miscellaneous items
FD405500,Catheter Foley's + urine bag (2000ml) 14g,1,NA,Miscellaneous items
FD405600,Catheter Foley's + urine bag (2000ml) 18g,1,NA,Miscellaneous items
FD405700,"Catheter Foley's retention 10-20cc FG 18, 2 way",1,NA,Miscellaneous items
FD405800,Catheter Foley's retention 10cc FG 14,1,NA,Miscellaneous items
FD405900,Catheter Foley's retention 10cc FG 16 2 way,1,NA,Miscellaneous items
FD406000,Catheter Foley's retention 10cc FG 18,1,NA,Miscellaneous items
FD406100,Giving set iv administration + needle 15 drops/ml,1,NA,Miscellaneous items
FD406200,Glove disposable powderedLatexLarge,1,NA,Miscellaneous items
FD406300,Glove disposable powderedLatex medium,1,NA,Miscellaneous items
FD406400,Glove gynaecological elbowLengthLarge,1,NA,Miscellaneous items
FD406500,Glove gynaecological elbowLength medium,1,NA,Miscellaneous items
FD406600,Glove surgeon's size 7 sterile,1,NA,Miscellaneous items
FD406700,Glove surgeon's size 7? sterile,1,NA,Miscellaneous items
FD406800,Glove surgeon's size 8 sterile,1,NA,Miscellaneous items
FD406900,iv giving sets (paediatric) with calibrated burrette,1,NA,Miscellaneous items
FD407000,iv giving sets (paediatric) with volume regulator between 10,1,NA,Miscellaneous items
FD407100,"Mask face dispoasble paper, 2- ply",1,NA,Miscellaneous items
FD407200,Scalp vein set disposableLuer 21g,1,NA,Miscellaneous items
FD407300,Scalp vein set disposableLuer 23g,1,NA,Miscellaneous items
FD407400,Scalp vein set disposableLuer 25g,1,NA,Miscellaneous items
FD407500,"Syringe, 20ml, disposable with 21g needle",1,NA,Miscellaneous items
FD407600,"Syringe, 50ml, disposable, with 19g needle",1,NA,Miscellaneous items
FD407700,"Syringe, 5ml, disposable, hypoluer with 21g needle",1,NA,Miscellaneous items
FD407800,"Syringe, autodestruct, 10ml, disposable with 21g needle",1,NA,Miscellaneous items
FD407900,"Syringe, autodestruct, 20ml, disposable with 21g needle",1,NA,Miscellaneous items
FD408000,"Syringe, autodestruct, 2ml, disposable, hypoluer with 23g ne",1,NA,Miscellaneous items
FD408100,"Syringe, autodestruct, 5ml, disposable, hypoluer with 21g ne",1,NA,Miscellaneous items
FD408200,Thermometer digital,1,NA,Miscellaneous items
FD408300,"Bag tablet dispensing, polythene, disposable 9 x 10cm",1,NA,Miscellaneous items
FD408400,"Apron, disposable, polythene",1,NA,Miscellaneous items
FD408500,"Apron, surgeon's polythene, footLength",1,NA,Miscellaneous items
FD408600,"Syringe,2ml,disp.hypol + 23g ndl",1,NA,Miscellaneous items
FD600000,Blood grouping serum Anti -A,1,NA,Miscellaneous items
FD600100,Blood grouping serum Anti -AB,1,NA,Miscellaneous items
FD600200,Blood grouping serum Anti -B,1,NA,Miscellaneous items
FD600300,Blood grouping serum Anti -D,1,NA,Miscellaneous items
FD600400,"Field stain A, 25g",1,NA,Miscellaneous items
FD600500,Field stain B dry powder,1,NA,Miscellaneous items
FD600600,Glucostics SD checks,1,NA,Miscellaneous items
FD600700,"India Ink, box",1,NA,Miscellaneous items
FD600800,"Keylab albumin, 40ml",1,NA,Miscellaneous items
FD600900,"Keylab alkaline phosaphate, 40ml",1,NA,Miscellaneous items
FD601000,"Keylab ALT/GPT, 40ml",1,NA,Miscellaneous items
FD601100,"Keylab AST/GOT, 40ml",1,NA,Miscellaneous items
FD601200,"Keylab calcium, 40ml",1,NA,Miscellaneous items
FD601300,"Keylab cleaning reagent, 250ml",1,NA,Miscellaneous items
FD601400,"Keylab creatinine, 40ml",1,NA,Miscellaneous items
FD601500,Keylab direct billrubin 40ml,1,NA,Miscellaneous items
FD601600,"Keylab gamma GT, 40ml",1,NA,Miscellaneous items
FD601700,"Keylab thermal printer paper, pack",1,NA,Miscellaneous items
FD601800,"Keylab total billrubin, 40ml",1,NA,Miscellaneous items
FD601900,"Keylab Urea/bun, 40ml",1,NA,Miscellaneous items
FD602000,Multistix,1,NA,Miscellaneous items
FD602100,"Oil immersion, bottle 100ml",1,NA,Miscellaneous items
FD602200,Transfusion set blood admin+pump+needle,1,NA,Miscellaneous items
FD602300,Ant Human Globulin 10ml,1,NA,Miscellaneous items
FD602400,Determine Hepatitis B Test Kit,1,NA,Miscellaneous items
FD602500,"Agar, Blood Base",1,NA,Miscellaneous items
FD602600,"Agar, MacConkey, salt free",1,NA,Miscellaneous items
FD602700,"Agar, MacConkey, with salt",1,NA,Miscellaneous items
FD602800,Auramine ?O? Gurr powder,1,NA,Miscellaneous items
FD602900,Gram Stain Kit,1,NA,Miscellaneous items
FD603000,Indole lab reagent,1,NA,Miscellaneous items
FD603100,XLD Medium,1,NA,Miscellaneous items
FD603200,Act 5 Diff WBC Lyse,1,NA,Miscellaneous items
FD603300,Act 5 Diff fix,1,NA,Miscellaneous items
FD603400,Act 5 Diff Rinse,1,NA,Miscellaneous items
FD603500,Act 5 Diff HGB,1,NA,Miscellaneous items
FD603600,Sample cups,1,NA,Miscellaneous items
FD603700,Act 5 diff diluent,1,NA,Miscellaneous items
FD603800,Act 5 diff Lyse,1,NA,Miscellaneous items
FD603900,Act 5 diff control plus,1,NA,Miscellaneous items
FD604000,Act 5 diff calibrator,1,NA,Miscellaneous items
FD604100,XLD Agar,1,NA,Miscellaneous items
FD604200,Simmons citrate,1,NA,Miscellaneous items
FD604300,Mueller Hinton agar,1,NA,Miscellaneous items
FD604400,Carry Blair Transport medium,1,NA,Miscellaneous items
FD604500,Agar Mac conkey,1,NA,Miscellaneous items
FD604600,Agar Mac conkey No.2,1,NA,Miscellaneous items
FD604700,Agar Mac conkey No.3,1,NA,Miscellaneous items
FD604800,Acetone,1,NA,Miscellaneous items
FD604900,Act 5 Diff fix,1,NA,Miscellaneous items
FD605000,Act 5 Diff HGBLyse,1,NA,Miscellaneous items
FD605100,Act tainer (po 8547111) pack,1,NA,Miscellaneous items
FD605200,"Agar, base urea",1,NA,Miscellaneous items
FD605300,"Agar, dextrose",1,NA,Miscellaneous items
FD605400,"Agar, DST",1,NA,Miscellaneous items
FD605500,"Agar, mannitol salt",1,NA,Miscellaneous items
FD605600,"Agar, nutrient",1,NA,Miscellaneous items
FD605700,"Agar, sabouraud dextrose",1,NA,Miscellaneous items
FD605800,"Agar, SIM",1,NA,Miscellaneous items
FD605900,"Agar, TCBS cholera",1,NA,Miscellaneous items
FD606000,Albumin test kit (HUMAN),1,NA,Miscellaneous items
FD606100,Alkaline Peptone Agar,1,NA,Miscellaneous items
FD606200,Alkaline phosphatase test kit -HUMAN,1,NA,Miscellaneous items
FD606300,Amoxycillin disc 35mcg,1,NA,Miscellaneous items
FD606400,Ampicillin disc 10mcg,1,NA,Miscellaneous items
FD606500,"Amylase test kit, 5ml-HUMAN",1,NA,Miscellaneous items
FD606600,Anti - streptolysin (ASOT) test kit,1,NA,Miscellaneous items
FD606700,"Anti-human globulin (Coombs' test),L",1,NA,Miscellaneous items
FD606800,Autoclavable Biohazard bags,1,NA,Miscellaneous items
FD606900,"Bacitracin 0.04 units, discs",1,NA,Miscellaneous items
FD607000,"Bacitracin 0.1 units, discs",1,NA,Miscellaneous items
FD607100,"Bactec Standard areobic / culture, Adult",1,NA,Miscellaneous items
FD607200,Basin fuchsin powder,1,NA,Miscellaneous items
FD607300,Beaker Cleaning brushes,1,NA,Miscellaneous items
FD607400,Bilirubin total and direct test -HUMAN,1,NA,Miscellaneous items
FD607500,Biolyte electrolyte - Conditioning Na Solution,1,NA,Miscellaneous items
FD607600,Blood grouping serum Anti-D (IgG/IgM10ml Blend,1,NA,Miscellaneous items
FD607700,"Bottle, blood collecting plain plastic vacuated, 5ml plus va",1,NA,Miscellaneous items
FD607800,"Bottle, blood collecting plastic vacuated with fluoride oxal",1,NA,Miscellaneous items
FD607900,"Bottle, blood collecting vacuated, 4.5 ml with EDTA K3 tubes",1,NA,Miscellaneous items
FD608000,"Bottle, blood culture, 100ml",1,NA,Miscellaneous items
FD608100,"Bottle, blood culture, 50ml",1,NA,Miscellaneous items
FD608200,Brown Bottles with screw cup,1,NA,Miscellaneous items
FD608300,Bulbs for humalyser 2000 6V 10 W,1,NA,Miscellaneous items
FD608400,Bulbs microscope 6V 20W,1,NA,Miscellaneous items
FD608500,Calcium test kit-HUMAN,1,NA,Miscellaneous items
FD608600,Cefotaxime 30mcg discs,1,NA,Miscellaneous items
FD608700,Cefuroxime 30mcg discs,1,NA,Miscellaneous items
FD608800,Centrifuge tubes conical shape with screw cup,1,NA,Miscellaneous items
FD608900,Cephalexin 30mg discs,1,NA,Miscellaneous items
FD609000,Chloramphenicol discs,1,NA,Miscellaneous items
FD609100,Chloride (Cl-) Electrode for Nova 5,1,NA,Miscellaneous items
FD609200,Cholesterol test kit-HUMAN,1,NA,Miscellaneous items
